pred,season,team1,team2,team1_wins,team1_wscore,team1_seed,team2_wins,team2_wscore,team2_seed
0,R,503,666,0,0,0,1,54,6
0,C,503,670,0,0,0,1,80,3
0,N,503,670,0,0,0,1,62,10
0,P,503,670,0,0,0,1,75,8
0,R,503,670,0,0,0,5,376,4
0,C,503,671,0,0,0,2,146,4
0,D,503,671,0,0,0,4,277,1
0,E,503,671,0,0,0,6,430,1
0,F,503,671,0,0,0,4,296,1
0,H,503,671,0,0,0,3,207,7
0,J,503,671,0,0,0,4,333,5
0,L,503,671,0,0,0,1,61,9
0,M,503,671,0,0,0,2,137,5
0,N,503,671,0,0,0,5,364,2
0,O,503,671,0,0,0,4,284,5
0,Q,503,671,0,0,0,2,154,1
0,R,503,671,0,0,0,2,135,3
0,B,503,673,0,0,0,4,324,1
0,R,503,673,0,0,0,1,83,11
0,A,503,675,0,0,0,4,254,5
0,G,503,675,0,0,0,1,70,3
0,I,503,675,0,0,0,1,85,2
0,J,503,675,0,0,0,1,93,9
0,M,503,675,0,0,0,1,76,8
0,F,503,676,0,0,0,1,70,9
0,G,503,676,0,0,0,3,258,12
0,H,503,676,0,0,0,1,72,6
0,N,503,676,0,0,0,3,263,3
0,O,503,676,0,0,0,1,86,10
0,N,503,682,0,0,0,1,58,16
0,P,503,682,0,0,0,1,62,13
0,A,503,708,0,0,0,1,83,6
0,B,503,708,0,0,0,4,315,1
0,C,503,708,0,0,0,4,329,1
0,E,503,708,0,0,0,4,277,8
0,F,503,708,0,0,0,1,70,2
0,I,503,708,0,0,0,1,63,6
0,J,503,708,0,0,0,6,505,1
0,K,503,708,0,0,0,1,69,3
0,L,503,708,0,0,0,3,241,1
0,M,503,708,0,0,0,4,372,1
0,N,503,708,0,0,0,6,527,1
0,P,503,708,0,0,0,3,269,2
0,Q,503,708,0,0,0,3,237,1
0,R,503,708,0,0,0,1,78,8
0,O,503,714,0,0,0,2,138,9
0,D,503,720,0,0,0,4,296,4
0,E,503,720,0,0,0,1,87,3
0,G,503,720,0,0,0,1,69,4
0,K,503,720,0,0,0,1,70,2
0,L,503,720,0,0,0,5,400,1
0,O,503,720,0,0,0,2,143,2
0,P,503,720,0,0,0,2,173,1
0,Q,503,720,0,0,0,4,309,2
0,R,503,720,0,0,0,3,246,2
0,D,503,721,0,0,0,2,146,13
0,E,503,721,0,0,0,1,74,3
0,G,503,721,0,0,0,4,318,2
0,H,503,721,0,0,0,3,210,1
0,J,503,721,0,0,0,1,84,3
0,M,503,721,0,0,0,1,72,6
0,N,503,721,0,0,0,3,239,2
0,C,503,722,0,0,0,1,74,8
0,D,503,722,0,0,0,1,69,9
0,E,503,722,0,0,0,3,229,3
0,H,503,722,0,0,0,1,77,6
0,I,503,722,0,0,0,4,272,2
0,J,503,722,0,0,0,2,148,2
0,N,503,722,0,0,0,1,77,8
0,G,503,731,0,0,0,2,134,3
0,H,503,731,0,0,0,2,161,2
0,I,503,731,0,0,0,2,112,3
0,K,503,731,0,0,0,1,79,5
0,L,503,731,0,0,0,2,163,3
0,M,503,731,0,0,0,1,82,4
0,N,503,731,0,0,0,3,216,1
0,O,503,731,0,0,0,1,89,3
0,P,503,731,0,0,0,1,74,1
0,A,503,738,0,0,0,1,73,1
0,B,503,738,0,0,0,1,83,8
0,C,503,738,0,0,0,2,175,2
0,D,503,738,0,0,0,2,131,10
0,E,503,738,0,0,0,3,203,6
0,H,503,738,0,0,0,1,80,9
0,L,503,738,0,0,0,1,72,9
0,M,503,738,0,0,0,1,90,6
0,N,503,738,0,0,0,2,137,5
0,O,503,738,0,0,0,2,135,4
0,P,503,738,0,0,0,1,65,3
0,Q,503,738,0,0,0,1,72,10
0,G,503,766,0,0,0,1,81,16
0,M,503,766,0,0,0,1,83,13
0,N,503,766,0,0,0,1,74,9
0,A,503,786,0,0,0,5,377,4
0,C,503,786,0,0,0,2,119,5
0,E,503,786,0,0,0,2,131,4
0,F,503,786,0,0,0,1,79,5
0,H,503,786,0,0,0,6,462,3
0,I,503,786,0,0,0,2,152,5
0,N,503,786,0,0,0,2,137,3
0,O,503,786,0,0,0,2,166,1
0,P,503,786,0,0,0,1,77,3
0,Q,503,786,0,0,0,3,211,1
0,R,503,786,0,0,0,4,263,4
0,A,503,789,0,0,0,1,61,7
0,B,503,789,0,0,0,1,62,9
0,D,503,789,0,0,0,3,202,6
0,E,503,789,0,0,0,1,73,2
0,F,503,789,0,0,0,3,238,11
0,P,503,789,0,0,0,1,66,7
0,R,503,789,0,0,0,1,76,9
0,D,503,790,0,0,0,1,62,4
0,E,503,790,0,0,0,2,128,4
0,K,503,790,0,0,0,1,63,2
0,L,503,790,0,0,0,2,198,5
0,M,503,790,0,0,0,2,148,2
0,O,503,790,0,0,0,3,221,6
0,A,503,793,0,0,0,1,80,10
0,B,503,793,0,0,0,2,153,10
0,E,503,793,0,0,0,1,77,5
0,G,503,793,0,0,0,2,138,6
0,H,503,793,0,0,0,4,326,1
0,I,503,793,0,0,0,2,144,3
0,K,503,793,0,0,0,3,209,2
0,L,503,793,0,0,0,1,79,4
0,M,503,793,0,0,0,3,231,2
0,N,503,793,0,0,0,1,76,7
0,P,503,793,0,0,0,1,85,4
0,K,503,794,0,0,0,1,66,12
0,L,503,794,0,0,0,2,140,3
0,M,503,794,0,0,0,1,67,9
0,N,503,794,0,0,0,1,79,9
0,O,503,794,0,0,0,1,69,5
0,B,503,810,0,0,0,3,279,2
0,C,503,810,0,0,0,2,150,6
0,E,503,810,0,0,0,2,170,6
0,F,503,810,0,0,0,2,136,4
0,G,503,810,0,0,0,2,185,8
0,K,503,810,0,0,0,5,322,2
0,L,503,810,0,0,0,4,256,2
0,M,503,810,0,0,0,4,285,1
0,N,503,810,0,0,0,1,65,6
0,P,503,810,0,0,0,1,78,7
0,F,503,818,0,0,0,3,223,6
0,L,503,818,0,0,0,2,164,5
0,N,503,818,0,0,0,1,72,10
0,A,503,821,0,0,0,2,145,4
0,B,503,821,0,0,0,3,234,2
0,C,503,821,0,0,0,5,366,3
0,D,503,821,0,0,0,1,80,2
0,E,503,821,0,0,0,1,48,8
0,H,503,821,0,0,0,1,60,9
0,J,503,821,0,0,0,2,127,6
0,F,503,822,0,0,0,1,77,12
0,L,503,825,0,0,0,1,79,11
0,P,503,825,0,0,0,5,370,11
0,Q,503,825,0,0,0,1,62,12
0,R,503,825,0,0,0,1,88,5
0,A,503,829,0,0,0,1,92,3
0,B,503,829,0,0,0,1,101,4
0,J,503,829,0,0,0,2,131,5
0,K,503,829,0,0,0,3,200,1
0,M,503,829,0,0,0,2,159,12
0,N,503,829,0,0,0,4,324,3
0,O,503,829,0,0,0,1,73,2
0,M,503,835,0,0,0,2,173,12
0,N,503,835,0,0,0,1,76,12
0,Q,503,835,0,0,0,1,59,16
0,A,503,839,0,0,0,3,187,2
0,B,503,839,0,0,0,1,68,3
0,G,503,839,0,0,0,1,83,7
0,H,503,839,0,0,0,1,76,2
0,I,503,839,0,0,0,2,163,4
0,J,503,839,0,0,0,1,70,2
0,O,503,839,0,0,0,1,81,9
0,C,503,840,0,0,0,2,150,11
0,J,503,840,0,0,0,2,185,1
0,K,503,840,0,0,0,2,142,5
0,N,503,840,0,0,0,1,71,4
0,O,503,840,0,0,0,2,162,11
0,P,503,840,0,0,0,1,68,7
0,C,503,843,0,0,0,2,157,10
0,J,503,843,0,0,0,3,239,7
0,K,503,843,0,0,0,2,131,6
0,M,503,843,0,0,0,2,148,7
0,O,503,843,0,0,0,4,287,2
0,P,503,843,0,0,0,1,84,5
0,E,503,849,0,0,0,4,257,8
0,G,503,849,0,0,0,1,80,8
0,H,503,849,0,0,0,2,142,5
0,I,503,849,0,0,0,1,76,6
0,J,503,849,0,0,0,3,193,6
0,L,503,849,0,0,0,1,76,2
0,M,503,849,0,0,0,2,143,3
0,N,503,849,0,0,0,1,61,12
0,O,503,849,0,0,0,1,53,4
0,P,503,849,0,0,0,2,142,4
0,Q,503,849,0,0,0,2,133,4
0,B,503,853,0,0,0,1,80,7
0,G,503,853,0,0,0,1,70,7
0,H,503,853,0,0,0,1,71,3
0,I,503,853,0,0,0,3,248,7
0,L,503,853,0,0,0,1,79,9
0,M,503,853,0,0,0,3,237,3
0,N,503,853,0,0,0,2,137,4
0,O,503,853,0,0,0,2,136,6
0,Q,503,853,0,0,0,2,137,10
0,A,506,511,0,0,0,2,177,3
0,B,506,511,0,0,0,6,469,4
0,C,506,511,0,0,0,3,268,1
0,E,506,511,0,0,0,1,71,1
0,F,506,511,0,0,0,5,407,2
0,G,506,511,0,0,0,2,154,3
0,H,506,511,0,0,0,3,264,1
0,J,506,511,0,0,0,3,230,3
0,K,506,511,0,0,0,1,94,8
0,N,506,511,0,0,0,2,155,12
0,P,506,511,0,0,0,3,240,5
0,R,506,511,0,0,0,2,155,6
0,H,506,512,0,0,0,1,84,10
0,N,506,512,0,0,0,1,66,6
0,A,506,527,0,0,0,1,64,11
0,B,506,527,0,0,0,1,73,5
0,F,506,527,0,0,0,1,68,3
0,I,506,527,0,0,0,1,58,6
0,J,506,527,0,0,0,1,85,4
0,K,506,527,0,0,0,2,157,4
0,L,506,527,0,0,0,1,84,7
0,F,506,535,0,0,0,1,79,10
0,H,506,535,0,0,0,2,126,12
0,L,506,535,0,0,0,2,119,5
0,M,506,535,0,0,0,1,81,7
0,O,506,535,0,0,0,5,309,5
0,P,506,535,0,0,0,5,336,8
0,R,506,535,0,0,0,1,68,6
0,O,506,536,0,0,0,1,99,7
0,P,506,536,0,0,0,2,163,3
0,Q,506,536,0,0,0,1,78,14
0,B,506,539,0,0,0,2,130,5
0,G,506,539,0,0,0,1,82,6
0,H,506,539,0,0,0,1,76,8
0,O,506,539,0,0,0,1,77,8
0,R,506,539,0,0,0,1,64,12
0,B,506,547,0,0,0,2,148,14
0,B,506,551,0,0,0,2,133,4
0,P,506,551,0,0,0,1,70,12
0,N,506,552,0,0,0,1,84,13
0,A,506,559,0,0,0,2,163,1
0,C,506,559,0,0,0,3,246,2
0,D,506,559,0,0,0,6,455,1
0,E,506,559,0,0,0,1,75,5
0,G,506,559,0,0,0,3,226,2
0,H,506,559,0,0,0,2,143,5
0,I,506,559,0,0,0,6,463,2
0,J,506,559,0,0,0,1,77,2
0,K,506,559,0,0,0,3,257,1
0,N,506,559,0,0,0,4,349,1
0,P,506,559,0,0,0,6,398,3
0,O,506,561,0,0,0,2,165,12
0,N,506,569,0,0,0,1,68,11
0,B,506,577,0,0,0,1,71,2
0,C,506,577,0,0,0,3,258,1
0,D,506,577,0,0,0,5,427,1
0,E,506,577,0,0,0,2,151,1
0,F,506,577,0,0,0,6,521,1
0,G,506,577,0,0,0,2,168,1
0,H,506,577,0,0,0,2,153,3
0,I,506,577,0,0,0,4,324,1
0,J,506,577,0,0,0,2,120,1
0,K,506,577,0,0,0,2,144,1
0,M,506,577,0,0,0,1,71,2
0,N,506,577,0,0,0,2,160,2
0,O,506,577,0,0,0,6,428,1
0,P,506,577,0,0,0,2,160,1
0,R,506,577,0,0,0,3,210,2
0,C,506,595,0,0,0,1,96,12
0,P,506,595,0,0,0,2,128,10
0,Q,506,595,0,0,0,1,66,3
0,D,506,607,0,0,0,3,230,10
0,E,506,607,0,0,0,2,159,10
0,F,506,607,0,0,0,2,171,12
0,H,506,607,0,0,0,1,74,9
0,I,506,607,0,0,0,1,76,2
0,J,506,607,0,0,0,1,74,3
0,K,506,607,0,0,0,2,169,3
0,N,506,607,0,0,0,2,160,4
0,O,506,607,0,0,0,1,67,8
0,P,506,607,0,0,0,1,86,11
0,Q,506,607,0,0,0,1,77,7
0,R,506,607,0,0,0,1,64,1
0,B,506,623,0,0,0,1,90,6
0,C,506,623,0,0,0,1,64,5
0,E,506,623,0,0,0,1,68,4
0,F,506,623,0,0,0,3,255,1
0,G,506,623,0,0,0,2,165,4
0,H,506,623,0,0,0,1,65,4
0,I,506,623,0,0,0,2,164,5
0,J,506,623,0,0,0,5,377,1
0,K,506,623,0,0,0,1,78,4
0,P,506,623,0,0,0,1,73,9
0,R,506,623,0,0,0,1,57,7
0,A,506,636,0,0,0,3,251,2
0,B,506,636,0,0,0,2,153,1
0,C,506,636,0,0,0,1,110,1
0,D,506,636,0,0,0,1,95,6
0,E,506,636,0,0,0,1,81,8
0,F,506,636,0,0,0,2,186,4
0,G,506,636,0,0,0,4,333,1
0,H,506,636,0,0,0,5,413,2
0,I,506,636,0,0,0,3,256,4
0,L,506,636,0,0,0,3,256,1
0,M,506,636,0,0,0,6,450,1
0,N,506,636,0,0,0,2,144,3
0,O,506,636,0,0,0,1,90,1
0,P,506,636,0,0,0,3,222,1
0,Q,506,636,0,0,0,5,332,2
0,R,506,636,0,0,0,2,134,1
0,A,506,651,0,0,0,2,150,6
0,B,506,651,0,0,0,3,207,6
0,H,506,651,0,0,0,1,86,4
0,J,506,651,0,0,0,4,330,4
0,L,506,651,0,0,0,1,78,6
0,M,506,651,0,0,0,3,236,3
0,N,506,651,0,0,0,3,256,1
0,Q,506,651,0,0,0,4,257,4
0,R,506,651,0,0,0,6,477,1
0,E,506,655,0,0,0,2,136,4
0,K,506,655,0,0,0,4,270,4
0,N,506,655,0,0,0,1,75,8
0,A,506,660,0,0,0,1,68,4
0,H,506,660,0,0,0,4,333,3
0,M,506,660,0,0,0,1,74,6
0,N,506,660,0,0,0,1,58,6
0,P,506,660,0,0,0,2,132,11
0,Q,506,660,0,0,0,2,150,3
0,R,506,660,0,0,0,3,204,3
0,C,506,662,0,0,0,2,149,4
0,D,506,662,0,0,0,2,157,2
0,E,506,662,0,0,0,1,74,3
0,F,506,662,0,0,0,4,325,3
0,G,506,662,0,0,0,6,501,1
0,H,506,662,0,0,0,2,152,6
0,I,506,662,0,0,0,1,86,4
0,L,506,662,0,0,0,1,82,4
0,N,506,662,0,0,0,1,84,10
0,O,506,662,0,0,0,1,89,4
0,I,506,666,0,0,0,1,59,7
0,K,506,666,0,0,0,3,246,1
0,L,506,666,0,0,0,3,216,2
0,M,506,666,0,0,0,5,419,1
0,N,506,666,0,0,0,2,170,2
0,R,506,666,0,0,0,1,54,6
0,C,506,670,0,0,0,1,80,3
0,N,506,670,0,0,0,1,62,10
0,P,506,670,0,0,0,1,75,8
0,R,506,670,0,0,0,5,376,4
0,C,506,671,0,0,0,2,146,4
0,D,506,671,0,0,0,4,277,1
0,E,506,671,0,0,0,6,430,1
0,F,506,671,0,0,0,4,296,1
0,H,506,671,0,0,0,3,207,7
0,J,506,671,0,0,0,4,333,5
0,L,506,671,0,0,0,1,61,9
0,M,506,671,0,0,0,2,137,5
0,N,506,671,0,0,0,5,364,2
0,O,506,671,0,0,0,4,284,5
0,Q,506,671,0,0,0,2,154,1
0,R,506,671,0,0,0,2,135,3
0,B,506,673,0,0,0,4,324,1
0,R,506,673,0,0,0,1,83,11
0,A,506,675,0,0,0,4,254,5
0,G,506,675,0,0,0,1,70,3
0,I,506,675,0,0,0,1,85,2
0,J,506,675,0,0,0,1,93,9
0,M,506,675,0,0,0,1,76,8
0,F,506,676,0,0,0,1,70,9
0,G,506,676,0,0,0,3,258,12
0,H,506,676,0,0,0,1,72,6
0,N,506,676,0,0,0,3,263,3
0,O,506,676,0,0,0,1,86,10
0,N,506,682,0,0,0,1,58,16
0,P,506,682,0,0,0,1,62,13
0,A,506,708,0,0,0,1,83,6
0,B,506,708,0,0,0,4,315,1
0,C,506,708,0,0,0,4,329,1
0,E,506,708,0,0,0,4,277,8
0,F,506,708,0,0,0,1,70,2
0,I,506,708,0,0,0,1,63,6
0,J,506,708,0,0,0,6,505,1
0,K,506,708,0,0,0,1,69,3
0,L,506,708,0,0,0,3,241,1
0,M,506,708,0,0,0,4,372,1
0,N,506,708,0,0,0,6,527,1
0,P,506,708,0,0,0,3,269,2
0,Q,506,708,0,0,0,3,237,1
0,R,506,708,0,0,0,1,78,8
0,O,506,714,0,0,0,2,138,9
0,D,506,720,0,0,0,4,296,4
0,E,506,720,0,0,0,1,87,3
0,G,506,720,0,0,0,1,69,4
0,K,506,720,0,0,0,1,70,2
0,L,506,720,0,0,0,5,400,1
0,O,506,720,0,0,0,2,143,2
0,P,506,720,0,0,0,2,173,1
0,Q,506,720,0,0,0,4,309,2
0,R,506,720,0,0,0,3,246,2
0,D,506,721,0,0,0,2,146,13
0,E,506,721,0,0,0,1,74,3
0,G,506,721,0,0,0,4,318,2
0,H,506,721,0,0,0,3,210,1
0,J,506,721,0,0,0,1,84,3
0,M,506,721,0,0,0,1,72,6
0,N,506,721,0,0,0,3,239,2
0,C,506,722,0,0,0,1,74,8
0,D,506,722,0,0,0,1,69,9
0,E,506,722,0,0,0,3,229,3
0,H,506,722,0,0,0,1,77,6
0,I,506,722,0,0,0,4,272,2
0,J,506,722,0,0,0,2,148,2
0,N,506,722,0,0,0,1,77,8
0,G,506,731,0,0,0,2,134,3
0,H,506,731,0,0,0,2,161,2
0,I,506,731,0,0,0,2,112,3
0,K,506,731,0,0,0,1,79,5
0,L,506,731,0,0,0,2,163,3
0,M,506,731,0,0,0,1,82,4
0,N,506,731,0,0,0,3,216,1
0,O,506,731,0,0,0,1,89,3
0,P,506,731,0,0,0,1,74,1
0,A,506,738,0,0,0,1,73,1
0,B,506,738,0,0,0,1,83,8
0,C,506,738,0,0,0,2,175,2
0,D,506,738,0,0,0,2,131,10
0,E,506,738,0,0,0,3,203,6
0,H,506,738,0,0,0,1,80,9
0,L,506,738,0,0,0,1,72,9
0,M,506,738,0,0,0,1,90,6
0,N,506,738,0,0,0,2,137,5
0,O,506,738,0,0,0,2,135,4
0,P,506,738,0,0,0,1,65,3
0,Q,506,738,0,0,0,1,72,10
0,G,506,766,0,0,0,1,81,16
0,M,506,766,0,0,0,1,83,13
0,N,506,766,0,0,0,1,74,9
0,A,506,786,0,0,0,5,377,4
0,C,506,786,0,0,0,2,119,5
0,E,506,786,0,0,0,2,131,4
0,F,506,786,0,0,0,1,79,5
0,H,506,786,0,0,0,6,462,3
0,I,506,786,0,0,0,2,152,5
0,N,506,786,0,0,0,2,137,3
0,O,506,786,0,0,0,2,166,1
0,P,506,786,0,0,0,1,77,3
0,Q,506,786,0,0,0,3,211,1
0,R,506,786,0,0,0,4,263,4
0,A,506,789,0,0,0,1,61,7
0,B,506,789,0,0,0,1,62,9
0,D,506,789,0,0,0,3,202,6
0,E,506,789,0,0,0,1,73,2
0,F,506,789,0,0,0,3,238,11
0,P,506,789,0,0,0,1,66,7
0,R,506,789,0,0,0,1,76,9
0,D,506,790,0,0,0,1,62,4
0,E,506,790,0,0,0,2,128,4
0,K,506,790,0,0,0,1,63,2
0,L,506,790,0,0,0,2,198,5
0,M,506,790,0,0,0,2,148,2
0,O,506,790,0,0,0,3,221,6
0,A,506,793,0,0,0,1,80,10
0,B,506,793,0,0,0,2,153,10
0,E,506,793,0,0,0,1,77,5
0,G,506,793,0,0,0,2,138,6
0,H,506,793,0,0,0,4,326,1
0,I,506,793,0,0,0,2,144,3
0,K,506,793,0,0,0,3,209,2
0,L,506,793,0,0,0,1,79,4
0,M,506,793,0,0,0,3,231,2
0,N,506,793,0,0,0,1,76,7
0,P,506,793,0,0,0,1,85,4
0,K,506,794,0,0,0,1,66,12
0,L,506,794,0,0,0,2,140,3
0,M,506,794,0,0,0,1,67,9
0,N,506,794,0,0,0,1,79,9
0,O,506,794,0,0,0,1,69,5
0,B,506,810,0,0,0,3,279,2
0,C,506,810,0,0,0,2,150,6
0,E,506,810,0,0,0,2,170,6
0,F,506,810,0,0,0,2,136,4
0,G,506,810,0,0,0,2,185,8
0,K,506,810,0,0,0,5,322,2
0,L,506,810,0,0,0,4,256,2
0,M,506,810,0,0,0,4,285,1
0,N,506,810,0,0,0,1,65,6
0,P,506,810,0,0,0,1,78,7
0,F,506,818,0,0,0,3,223,6
0,L,506,818,0,0,0,2,164,5
0,N,506,818,0,0,0,1,72,10
0,A,506,821,0,0,0,2,145,4
0,B,506,821,0,0,0,3,234,2
0,C,506,821,0,0,0,5,366,3
0,D,506,821,0,0,0,1,80,2
0,E,506,821,0,0,0,1,48,8
0,H,506,821,0,0,0,1,60,9
0,J,506,821,0,0,0,2,127,6
0,F,506,822,0,0,0,1,77,12
0,L,506,825,0,0,0,1,79,11
0,P,506,825,0,0,0,5,370,11
0,Q,506,825,0,0,0,1,62,12
0,R,506,825,0,0,0,1,88,5
0,A,506,829,0,0,0,1,92,3
0,B,506,829,0,0,0,1,101,4
0,J,506,829,0,0,0,2,131,5
0,K,506,829,0,0,0,3,200,1
0,M,506,829,0,0,0,2,159,12
0,N,506,829,0,0,0,4,324,3
0,O,506,829,0,0,0,1,73,2
0,M,506,835,0,0,0,2,173,12
0,N,506,835,0,0,0,1,76,12
0,Q,506,835,0,0,0,1,59,16
0,A,506,839,0,0,0,3,187,2
0,B,506,839,0,0,0,1,68,3
0,G,506,839,0,0,0,1,83,7
0,H,506,839,0,0,0,1,76,2
0,I,506,839,0,0,0,2,163,4
0,J,506,839,0,0,0,1,70,2
0,O,506,839,0,0,0,1,81,9
0,C,506,840,0,0,0,2,150,11
0,J,506,840,0,0,0,2,185,1
0,K,506,840,0,0,0,2,142,5
0,N,506,840,0,0,0,1,71,4
0,O,506,840,0,0,0,2,162,11
0,P,506,840,0,0,0,1,68,7
0,C,506,843,0,0,0,2,157,10
0,J,506,843,0,0,0,3,239,7
0,K,506,843,0,0,0,2,131,6
0,M,506,843,0,0,0,2,148,7
0,O,506,843,0,0,0,4,287,2
0,P,506,843,0,0,0,1,84,5
0,E,506,849,0,0,0,4,257,8
0,G,506,849,0,0,0,1,80,8
0,H,506,849,0,0,0,2,142,5
0,I,506,849,0,0,0,1,76,6
0,J,506,849,0,0,0,3,193,6
0,L,506,849,0,0,0,1,76,2
0,M,506,849,0,0,0,2,143,3
0,N,506,849,0,0,0,1,61,12
0,O,506,849,0,0,0,1,53,4
0,P,506,849,0,0,0,2,142,4
0,Q,506,849,0,0,0,2,133,4
