id,pred
N_512_675,0.662
N_512_676,0.413
N_512_682,0.71
N_512_683,0.701
N_512_689,0.682
N_512_708,0.35
N_512_714,0.642
N_512_720,0.557
N_512_721,0.392
N_512_722,0.546
N_512_731,0.371
N_512_733,0.662
N_512_738,0.468
N_512_740,0.719
N_512_745,0.701
N_512_765,0.682
N_512_766,0.568
N_512_786,0.424
N_512_789,0.622
N_512_790,0.579
N_512_793,0.524
N_512_794,0.568
N_512_810,0.502
N_512_818,0.589
N_512_821,0.491
N_512_822,0.622
N_512_825,0.622
N_512_829,0.402
N_512_835,0.632
N_512_839,0.468
N_512_840,0.457
N_512_843,0.513
N_512_849,0.632
N_512_853,0.446
N_524_527,0.329
N_524_535,0.37
N_524_536,0.349
N_524_539,0.329
N_524_547,0.522
N_524_551,0.329
N_524_552,0.445
N_524_559,0.194
N_524_561,0.478
N_524_565,0.5
N_524_569,0.401
N_524_577,0.223
N_524_586,0.522
N_524_595,0.291
N_524_607,0.256
N_524_623,0.291
N_524_636,0.239
N_524_651,0.201
N_524_655,0.339
N_524_660,0.301
N_524_662,0.38
N_524_666,0.223
N_524_670,0.38
N_524_671,0.201
N_524_673,0.391
N_524_675,0.456
N_524_676,0.231
N_524_682,0.511
N_524_683,0.5
N_524_689,0.478
N_524_708,0.187
N_524_714,0.434
N_524_720,0.349
N_524_721,0.216
N_524_722,0.339
N_524_731,0.201
N_524_733,0.456
N_524_738,0.273
N_524_740,0.522
N_524_745,0.5
N_524_765,0.478
N_524_766,0.359
N_524_786,0.239
N_524_789,0.412
N_524_790,0.37
N_524_793,0.32
N_524_794,0.359
N_524_810,0.301
N_524_818,0.38
N_524_821,0.291
N_524_822,0.412
N_524_825,0.412
N_524_829,0.223
N_524_835,0.423
N_524_839,0.273
N_524_840,0.265
N_524_843,0.31
N_524_849,0.423
N_524_853,0.256
N_527_535,0.545
N_527_536,0.523
N_527_539,0.501
N_527_547,0.69
N_527_551,0.501
N_527_552,0.62
N_527_559,0.329
N_527_561,0.651
N_527_565,0.671
N_527_569,0.578
N_527_577,0.37
N_527_586,0.69
N_527_595,0.456
N_527_607,0.412
N_527_623,0.456
N_527_636,0.391
N_527_651,0.339
N_527_655,0.511
N_527_660,0.467
N_527_662,0.556
N_527_666,0.37
N_527_670,0.556
N_527_671,0.339
N_527_673,0.567
N_527_675,0.631
N_527_676,0.38
N_527_682,0.681
N_527_683,0.671
N_527_689,0.651
N_527_708,0.319
N_527_714,0.61
N_527_720,0.523
N_527_721,0.359
N_527_722,0.511
N_527_731,0.339
N_527_733,0.631
N_527_738,0.434
N_527_740,0.69
N_527_745,0.671
N_527_765,0.651
N_527_766,0.534
N_527_786,0.391
N_527_789,0.589
N_527_790,0.545
N_527_793,0.489
N_527_794,0.534
N_527_810,0.467
N_527_818,0.556
N_527_821,0.456
N_527_822,0.589
N_527_825,0.589
N_527_829,0.37
N_527_835,0.599
N_527_839,0.434
N_527_840,0.423
N_527_843,0.478
N_527_849,0.599
N_527_853,0.412
N_535_536,0.478
N_535_539,0.456
N_535_547,0.651
N_535_551,0.456
N_535_552,0.577
N_535_559,0.291
N_535_561,0.61
N_535_565,0.631
N_535_569,0.534
N_535_577,0.329
N_535_586,0.651
N_535_595,0.412
N_535_607,0.37
N_535_623,0.412
N_535_636,0.349
N_535_651,0.3
N_535_655,0.467
N_535_660,0.423
N_535_662,0.511
N_535_666,0.329
N_535_670,0.511
N_535_671,0.3
N_535_673,0.523
N_535_675,0.588
N_535_676,0.339
N_535_682,0.641
N_535_683,0.631
N_535_689,0.61
N_535_708,0.282
N_535_714,0.567
N_535_720,0.478
N_535_721,0.319
N_535_722,0.467
N_535_731,0.3
N_535_733,0.588
N_535_738,0.391
N_535_740,0.651
N_535_745,0.631
N_535_765,0.61
N_535_766,0.489
N_535_786,0.349
N_535_789,0.545
N_535_790,0.5
N_535_793,0.445
N_535_794,0.489
N_535_810,0.423
N_535_818,0.511
N_535_821,0.412
N_535_822,0.545
N_535_825,0.545
N_535_829,0.329
N_535_835,0.556
N_535_839,0.391
N_535_840,0.38
N_535_843,0.434
N_535_849,0.556
N_535_853,0.37
N_536_539,0.478
N_536_547,0.671
N_536_551,0.478
N_536_552,0.599
N_536_559,0.31
N_536_561,0.631
N_536_565,0.651
N_536_569,0.556
N_536_577,0.349
N_536_586,0.671
N_536_595,0.434
N_536_607,0.391
N_536_623,0.434
N_536_636,0.37
N_536_651,0.32
N_536_655,0.489
N_536_660,0.445
N_536_662,0.534
N_536_666,0.349
N_536_670,0.534
N_536_671,0.319
N_536_673,0.545
N_536_675,0.61
N_536_676,0.359
N_536_682,0.661
N_536_683,0.651
N_536_689,0.631
N_536_708,0.3
N_536_714,0.588
N_536_720,0.501
N_536_721,0.339
N_536_722,0.489
N_536_731,0.32
N_536_733,0.61
N_536_738,0.412
N_536_740,0.671
N_536_745,0.651
N_536_765,0.631
N_536_766,0.511
N_536_786,0.37
N_536_789,0.567
N_536_790,0.523
N_536_793,0.467
N_536_794,0.511
N_536_810,0.445
N_536_818,0.534
N_536_821,0.434
N_536_822,0.567
N_536_825,0.567
N_536_829,0.349
N_536_835,0.577
N_536_839,0.413
N_536_840,0.402
N_536_843,0.456
N_536_849,0.577
N_536_853,0.391
N_539_547,0.69
N_539_551,0.501
N_539_552,0.62
N_539_559,0.329
N_539_561,0.651
N_539_565,0.671
N_539_569,0.578
N_539_577,0.37
N_539_586,0.69
N_539_595,0.456
N_539_607,0.412
N_539_623,0.456
N_539_636,0.391
N_539_651,0.339
N_539_655,0.511
N_539_660,0.467
N_539_662,0.556
N_539_666,0.37
N_539_670,0.556
N_539_671,0.339
N_539_673,0.567
N_539_675,0.631
N_539_676,0.38
N_539_682,0.681
N_539_683,0.671
N_539_689,0.651
N_539_708,0.319
N_539_714,0.61
N_539_720,0.523
N_539_721,0.359
N_539_722,0.511
N_539_731,0.339
N_539_733,0.631
N_539_738,0.434
N_539_740,0.69
N_539_745,0.671
N_539_765,0.651
N_539_766,0.534
N_539_786,0.391
N_539_789,0.589
N_539_790,0.545
N_539_793,0.489
N_539_794,0.534
N_539_810,0.467
N_539_818,0.556
N_539_821,0.456
N_539_822,0.589
N_539_825,0.589
N_539_829,0.37
N_539_835,0.599
N_539_839,0.434
N_539_840,0.423
N_539_843,0.478
N_539_849,0.599
N_539_853,0.412
N_547_551,0.31
N_547_552,0.423
N_547_559,0.18
N_547_561,0.456
N_547_565,0.478
N_547_569,0.38
N_547_577,0.208
N_547_586,0.5
N_547_595,0.273
N_547_607,0.239
N_547_623,0.273
N_547_636,0.223
N_547_651,0.187
N_547_655,0.319
N_547_660,0.282
N_547_662,0.359
N_547_666,0.208
N_547_670,0.359
N_547_671,0.187
N_547_673,0.37
N_547_675,0.434
N_547_676,0.216
N_547_682,0.489
N_547_683,0.478
N_547_689,0.456
N_547_708,0.174
N_547_714,0.412
N_547_720,0.329
N_547_721,0.201
N_547_722,0.319
N_547_731,0.187
N_547_733,0.434
N_547_738,0.256
N_547_740,0.5
N_547_745,0.478
N_547_765,0.456
N_547_766,0.339
N_547_786,0.223
N_547_789,0.391
N_547_790,0.349
N_547_793,0.3
N_547_794,0.339
N_547_810,0.282
N_547_818,0.359
N_547_821,0.273
N_547_822,0.391
N_547_825,0.391
N_547_829,0.208
N_547_835,0.401
N_547_839,0.256
N_547_840,0.248
N_547_843,0.291
N_547_849,0.401
N_547_853,0.239
N_551_552,0.62
N_551_559,0.329
N_551_561,0.651
N_551_565,0.671
N_551_569,0.578
N_551_577,0.37
N_551_586,0.69
N_551_595,0.456
N_551_607,0.412
N_551_623,0.456
N_551_636,0.391
N_551_651,0.339
N_551_655,0.511
N_551_660,0.467
N_551_662,0.556
N_551_666,0.37
N_551_670,0.556
N_551_671,0.339
N_551_673,0.567
N_551_675,0.631
N_551_676,0.38
N_551_682,0.681
N_551_683,0.671
N_551_689,0.651
N_551_708,0.319
N_551_714,0.61
N_551_720,0.523
N_551_721,0.359
N_551_722,0.511
N_551_731,0.339
N_551_733,0.631
N_551_738,0.434
N_551_740,0.69
N_551_745,0.671
N_551_765,0.651
N_551_766,0.534
N_551_786,0.391
N_551_789,0.589
N_551_790,0.545
N_551_793,0.489
N_551_794,0.534
N_551_810,0.467
N_551_818,0.556
N_551_821,0.456
N_551_822,0.589
N_551_825,0.589
N_551_829,0.37
N_551_835,0.599
N_551_839,0.434
N_551_840,0.423
N_551_843,0.478
N_551_849,0.599
N_551_853,0.412
N_552_559,0.232
N_552_561,0.535
N_552_565,0.557
N_552_569,0.457
N_552_577,0.265
N_552_586,0.579
N_552_595,0.34
N_552_607,0.301
N_552_623,0.34
N_552_636,0.283
N_552_651,0.24
N_552_655,0.392
N_552_660,0.35
N_552_662,0.435
N_552_666,0.265
N_552_670,0.435
N_552_671,0.24
N_552_673,0.446
N_552_675,0.512
N_552_676,0.274
N_552_682,0.567
N_552_683,0.557
N_552_689,0.535
N_552_708,0.224
N_552_714,0.49
N_552_720,0.403
N_552_721,0.257
N_552_722,0.392
N_552_731,0.24
N_552_733,0.512
N_552_738,0.32
N_552_740,0.579
N_552_745,0.557
N_552_765,0.535
N_552_766,0.413
N_552_786,0.283
N_552_789,0.468
N_552_790,0.424
N_552_793,0.371
N_552_794,0.413
N_552_810,0.35
N_552_818,0.435
N_552_821,0.34
N_552_822,0.468
N_552_825,0.468
N_552_829,0.265
N_552_835,0.479
N_552_839,0.321
N_552_840,0.311
N_552_843,0.361
N_552_849,0.479
N_552_853,0.301
N_559_561,0.795
N_559_565,0.809
N_559_569,0.739
N_559_577,0.549
N_559_586,0.822
N_559_595,0.635
N_559_607,0.593
N_559_623,0.635
N_559_636,0.571
N_559_651,0.516
N_559_655,0.685
N_559_660,0.645
N_559_662,0.722
N_559_666,0.549
N_559_670,0.722
N_559_671,0.516
N_559_673,0.731
N_559_675,0.78
N_559_676,0.56
N_559_682,0.816
N_559_683,0.809
N_559_689,0.795
N_559_708,0.493
N_559_714,0.764
N_559_720,0.695
N_559_721,0.538
N_559_722,0.685
N_559_731,0.516
N_559_733,0.78
N_559_738,0.614
N_559_740,0.822
N_559_745,0.809
N_559_765,0.795
N_559_766,0.704
N_559_786,0.571
N_559_789,0.748
N_559_790,0.713
N_559_793,0.665
N_559_794,0.704
N_559_810,0.645
N_559_818,0.722
N_559_821,0.635
N_559_822,0.748
N_559_825,0.748
N_559_829,0.549
N_559_835,0.756
N_559_839,0.614
N_559_840,0.604
N_559_843,0.656
N_559_849,0.756
N_559_853,0.593
N_561_565,0.522
N_561_569,0.423
N_561_577,0.239
N_561_586,0.545
N_561_595,0.31
N_561_607,0.273
N_561_623,0.31
N_561_636,0.256
N_561_651,0.216
N_561_655,0.359
N_561_660,0.32
N_561_662,0.401
N_561_666,0.239
N_561_670,0.401
N_561_671,0.215
N_561_673,0.412
N_561_675,0.478
N_561_676,0.247
N_561_682,0.533
N_561_683,0.522
N_561_689,0.5
N_561_708,0.201
N_561_714,0.456
N_561_720,0.37
N_561_721,0.231
N_561_722,0.359
N_561_731,0.216
N_561_733,0.478
N_561_738,0.291
N_561_740,0.545
N_561_745,0.522
N_561_765,0.5
N_561_766,0.38
N_561_786,0.256
N_561_789,0.434
N_561_790,0.391
N_561_793,0.339
N_561_794,0.38
N_561_810,0.32
N_561_818,0.401
N_561_821,0.31
N_561_822,0.434
N_561_825,0.434
N_561_829,0.239
N_561_835,0.445
N_561_839,0.291
N_561_840,0.282
N_561_843,0.329
N_561_849,0.445
N_561_853,0.273
N_565_569,0.401
N_565_577,0.223
N_565_586,0.522
N_565_595,0.291
N_565_607,0.256
N_565_623,0.291
N_565_636,0.239
N_565_651,0.201
N_565_655,0.339
N_565_660,0.301
N_565_662,0.38
N_565_666,0.223
N_565_670,0.38
N_565_671,0.201
N_565_673,0.391
N_565_675,0.456
N_565_676,0.231
N_565_682,0.511
N_565_683,0.5
N_565_689,0.478
N_565_708,0.187
N_565_714,0.434
N_565_720,0.349
N_565_721,0.216
N_565_722,0.339
N_565_731,0.201
N_565_733,0.456
N_565_738,0.273
N_565_740,0.522
N_565_745,0.5
N_565_765,0.478
N_565_766,0.359
N_565_786,0.239
N_565_789,0.412
N_565_790,0.37
N_565_793,0.32
N_565_794,0.359
N_565_810,0.301
N_565_818,0.38
N_565_821,0.291
N_565_822,0.412
N_565_825,0.412
N_565_829,0.223
N_565_835,0.423
N_565_839,0.273
N_565_840,0.265
N_565_843,0.31
N_565_849,0.423
N_565_853,0.256
N_569_577,0.301
N_569_586,0.621
N_569_595,0.382
N_569_607,0.34
N_569_623,0.382
N_569_636,0.321
N_569_651,0.274
N_569_655,0.435
N_569_660,0.392
N_569_662,0.479
N_569_666,0.301
N_569_670,0.479
N_569_671,0.274
N_569_673,0.49
N_569_675,0.557
N_569_676,0.311
N_569_682,0.611
N_569_683,0.6
N_569_689,0.579
N_569_708,0.256
N_569_714,0.535
N_569_720,0.446
N_569_721,0.292
N_569_722,0.435
N_569_731,0.274
N_569_733,0.557
N_569_738,0.36
N_569_740,0.621
N_569_745,0.6
N_569_765,0.579
N_569_766,0.457
N_569_786,0.321
N_569_789,0.513
N_569_790,0.468
N_569_793,0.413
N_569_794,0.457
N_569_810,0.392
N_569_818,0.479
N_569_821,0.382
N_569_822,0.513
N_569_825,0.513
N_569_829,0.301
N_569_835,0.523
N_569_839,0.361
N_569_840,0.35
N_569_843,0.403
N_569_849,0.523
N_569_853,0.34
N_577_586,0.793
N_577_595,0.591
N_577_607,0.547
N_577_623,0.591
N_577_636,0.525
N_577_651,0.469
N_577_655,0.643
N_577_660,0.601
N_577_662,0.683
N_577_666,0.503
N_577_670,0.683
N_577_671,0.469
N_577_673,0.693
N_577_675,0.746
N_577_676,0.514
N_577_682,0.786
N_577_683,0.779
N_577_689,0.763
N_577_708,0.447
N_577_714,0.729
N_577_720,0.654
N_577_721,0.491
N_577_722,0.643
N_577_731,0.469
N_577_733,0.746
N_577_738,0.569
N_577_740,0.793
N_577_745,0.779
N_577_765,0.763
N_577_766,0.663
N_577_786,0.525
N_577_789,0.711
N_577_790,0.673
N_577_793,0.623
N_577_794,0.663
N_577_810,0.601
N_577_818,0.683
N_577_821,0.591
N_577_822,0.711
N_577_825,0.711
N_577_829,0.502
N_577_835,0.72
N_577_839,0.569
N_577_840,0.558
N_577_843,0.612
N_577_849,0.72
N_577_853,0.547
N_586_595,0.273
N_586_607,0.239
N_586_623,0.273
N_586_636,0.223
N_586_651,0.187
N_586_655,0.319
N_586_660,0.282
N_586_662,0.359
N_586_666,0.208
N_586_670,0.359
N_586_671,0.187
N_586_673,0.37
N_586_675,0.434
N_586_676,0.216
N_586_682,0.489
N_586_683,0.478
N_586_689,0.456
N_586_708,0.174
N_586_714,0.412
N_586_720,0.329
N_586_721,0.201
N_586_722,0.319
N_586_731,0.187
N_586_733,0.434
N_586_738,0.256
N_586_740,0.5
N_586_745,0.478
N_586_765,0.456
N_586_766,0.339
N_586_786,0.223
N_586_789,0.391
N_586_790,0.349
N_586_793,0.3
N_586_794,0.339
N_586_810,0.282
N_586_818,0.359
N_586_821,0.273
N_586_822,0.391
N_586_825,0.391
N_586_829,0.208
N_586_835,0.401
N_586_839,0.256
N_586_840,0.248
N_586_843,0.291
N_586_849,0.401
N_586_853,0.239
N_595_607,0.456
N_595_623,0.501
N_595_636,0.434
N_595_651,0.38
N_595_655,0.556
N_595_660,0.512
N_595_662,0.599
N_595_666,0.412
N_595_670,0.599
N_595_671,0.38
N_595_673,0.61
N_595_675,0.671
N_595_676,0.423
N_595_682,0.718
N_595_683,0.709
N_595_689,0.691
N_595_708,0.359
N_595_714,0.651
N_595_720,0.567
N_595_721,0.401
N_595_722,0.556
N_595_731,0.38
N_595_733,0.671
N_595_738,0.478
N_595_740,0.727
N_595_745,0.709
N_595_765,0.691
N_595_766,0.578
N_595_786,0.434
N_595_789,0.631
N_595_790,0.589
N_595_793,0.534
N_595_794,0.578
N_595_810,0.512
N_595_818,0.599
N_595_821,0.501
N_595_822,0.631
N_595_825,0.631
N_595_829,0.412
N_595_835,0.641
N_595_839,0.478
N_595_840,0.467
N_595_843,0.523
N_595_849,0.641
N_595_853,0.456
N_607_623,0.547
N_607_636,0.48
N_607_651,0.425
N_607_655,0.601
N_607_660,0.558
N_607_662,0.643
N_607_666,0.458
N_607_670,0.643
N_607_671,0.425
N_607_673,0.653
N_607_675,0.711
N_607_676,0.469
N_607_682,0.754
N_607_683,0.746
N_607_689,0.729
N_607_708,0.403
N_607_714,0.693
N_607_720,0.612
N_607_721,0.447
N_607_722,0.601
N_607_731,0.425
N_607_733,0.711
N_607_738,0.525
N_607_740,0.763
N_607_745,0.746
N_607_765,0.729
N_607_766,0.622
N_607_786,0.48
N_607_789,0.673
N_607_790,0.633
N_607_793,0.58
N_607_794,0.622
N_607_810,0.558
N_607_818,0.643
N_607_821,0.547
N_607_822,0.673
N_607_825,0.673
N_607_829,0.458
N_607_835,0.683
N_607_839,0.525
N_607_840,0.514
N_607_843,0.569
N_607_849,0.683
N_607_853,0.503
N_623_636,0.434
N_623_651,0.38
N_623_655,0.556
N_623_660,0.512
N_623_662,0.599
N_623_666,0.412
N_623_670,0.599
N_623_671,0.38
N_623_673,0.61
N_623_675,0.671
N_623_676,0.423
N_623_682,0.718
N_623_683,0.709
N_623_689,0.691
N_623_708,0.359
N_623_714,0.651
N_623_720,0.567
N_623_721,0.401
N_623_722,0.556
N_623_731,0.38
N_623_733,0.671
N_623_738,0.478
N_623_740,0.727
N_623_745,0.709
N_623_765,0.691
N_623_766,0.578
N_623_786,0.434
N_623_789,0.631
N_623_790,0.589
N_623_793,0.534
N_623_794,0.578
N_623_810,0.512
N_623_818,0.599
N_623_821,0.501
N_623_822,0.631
N_623_825,0.631
N_623_829,0.412
N_623_835,0.641
N_623_839,0.478
N_623_840,0.467
N_623_843,0.523
N_623_849,0.641
N_623_853,0.456
N_636_651,0.447
N_636_655,0.623
N_636_660,0.58
N_636_662,0.663
N_636_666,0.48
N_636_670,0.663
N_636_671,0.447
N_636_673,0.673
N_636_675,0.729
N_636_676,0.491
N_636_682,0.771
N_636_683,0.763
N_636_689,0.746
N_636_708,0.425
N_636_714,0.711
N_636_720,0.633
N_636_721,0.469
N_636_722,0.623
N_636_731,0.447
N_636_733,0.729
N_636_738,0.547
N_636_740,0.778
N_636_745,0.763
N_636_765,0.746
N_636_766,0.643
N_636_786,0.503
N_636_789,0.693
N_636_790,0.654
N_636_793,0.601
N_636_794,0.643
N_636_810,0.58
N_636_818,0.663
N_636_821,0.569
N_636_822,0.693
N_636_825,0.693
N_636_829,0.48
N_636_835,0.702
N_636_839,0.547
N_636_840,0.536
N_636_843,0.591
N_636_849,0.702
N_636_853,0.525
N_651_655,0.674
N_651_660,0.634
N_651_662,0.712
N_651_666,0.537
N_651_670,0.712
N_651_671,0.503
N_651_673,0.721
N_651_675,0.772
N_651_676,0.548
N_651_682,0.808
N_651_683,0.801
N_651_689,0.787
N_651_708,0.481
N_651_714,0.756
N_651_720,0.684
N_651_721,0.526
N_651_722,0.674
N_651_731,0.504
N_651_733,0.772
N_651_738,0.602
N_651_740,0.815
N_651_745,0.801
N_651_765,0.787
N_651_766,0.693
N_651_786,0.559
N_651_789,0.739
N_651_790,0.703
N_651_793,0.654
N_651_794,0.693
N_651_810,0.634
N_651_818,0.712
N_651_821,0.624
N_651_822,0.739
N_651_825,0.739
N_651_829,0.537
N_651_835,0.747
N_651_839,0.603
N_651_840,0.592
N_651_843,0.645
N_651_849,0.747
N_651_853,0.581
N_655_660,0.457
N_655_662,0.546
N_655_666,0.361
N_655_670,0.546
N_655_671,0.33
N_655_673,0.557
N_655_675,0.621
N_655_676,0.371
N_655_682,0.672
N_655_683,0.662
N_655_689,0.642
N_655_708,0.311
N_655_714,0.6
N_655_720,0.513
N_655_721,0.35
N_655_722,0.501
N_655_731,0.33
N_655_733,0.621
N_655_738,0.424
N_655_740,0.682
N_655_745,0.662
N_655_765,0.642
N_655_766,0.524
N_655_786,0.381
N_655_789,0.579
N_655_790,0.535
N_655_793,0.479
N_655_794,0.524
N_655_810,0.457
N_655_818,0.546
N_655_821,0.446
N_655_822,0.579
N_655_825,0.579
N_655_829,0.36
N_655_835,0.589
N_655_839,0.424
N_655_840,0.413
N_655_843,0.468
N_655_849,0.589
N_655_853,0.403
N_660_662,0.589
N_660_666,0.403
N_660_670,0.589
N_660_671,0.37
N_660_673,0.6
N_660_675,0.662
N_660_676,0.413
N_660_682,0.71
N_660_683,0.701
N_660_689,0.682
N_660_708,0.35
N_660_714,0.642
N_660_720,0.557
N_660_721,0.392
N_660_722,0.546
N_660_731,0.371
N_660_733,0.662
N_660_738,0.468
N_660_740,0.719
N_660_745,0.701
N_660_765,0.682
N_660_766,0.568
N_660_786,0.424
N_660_789,0.622
N_660_790,0.579
N_660_793,0.524
N_660_794,0.568
N_660_810,0.502
N_660_818,0.589
N_660_821,0.491
N_660_822,0.622
N_660_825,0.622
N_660_829,0.402
N_660_835,0.632
N_660_839,0.468
N_660_840,0.457
N_660_843,0.513
N_660_849,0.632
N_660_853,0.446
N_662_666,0.321
N_662_670,0.501
N_662_671,0.292
N_662_673,0.513
N_662_675,0.579
N_662_676,0.33
N_662_682,0.632
N_662_683,0.621
N_662_689,0.6
N_662_708,0.274
N_662_714,0.557
N_662_720,0.468
N_662_721,0.311
N_662_722,0.457
N_662_731,0.292
N_662_733,0.579
N_662_738,0.381
N_662_740,0.642
N_662_745,0.621
N_662_765,0.6
N_662_766,0.479
N_662_786,0.34
N_662_789,0.535
N_662_790,0.49
N_662_793,0.435
N_662_794,0.479
N_662_810,0.413
N_662_818,0.501
N_662_821,0.403
N_662_822,0.535
N_662_825,0.535
N_662_829,0.32
N_662_835,0.546
N_662_839,0.382
N_662_840,0.371
N_662_843,0.424
N_662_849,0.546
N_662_853,0.36
N_666_670,0.683
N_666_671,0.469
N_666_673,0.693
N_666_675,0.746
N_666_676,0.514
N_666_682,0.786
N_666_683,0.779
N_666_689,0.763
N_666_708,0.447
N_666_714,0.729
N_666_720,0.654
N_666_721,0.491
N_666_722,0.643
N_666_731,0.469
N_666_733,0.746
N_666_738,0.569
N_666_740,0.793
N_666_745,0.779
N_666_765,0.763
N_666_766,0.663
N_666_786,0.525
N_666_789,0.711
